Image,PSNR_Gaussian,PSNR_Median,PSNR_Bilateral
100_img_.png,28.182182539151285,28.74276322965088,29.048831599168135
10139.png,30.22173097066681,33.90207584445482,30.613963578184737
10151.png,29.891088741817306,32.34366836503728,30.002031679381503
101_img_.png,30.03021327408492,34.06272234594911,30.472770194188477
102_img_.png,29.92254855273528,32.75323957693083,30.26726688420917
104_img_.png,30.296948088125607,34.511383089612984,30.740131992143915
105_img_.png,30.040472670808963,33.46638890273552,30.424925923821217
106_img_.png,26.33113870128746,24.96948851134752,28.027883832458443
107_img_.png,30.494596274355622,35.99900453494331,31.056983493620628
108_img_.png,29.727841140518976,32.66804152914969,30.924399896849316
10909.png,30.244618693937866,34.00005006080248,30.622593918934506
10945.png,30.568402524250743,36.80455417299437,31.27013637097747
109_img_.png,28.95943113089765,30.101578798250856,29.365894263378234
10_img_.png,30.223546798653214,34.89097091279306,30.870098504258966
11052.png,29.871322158491136,31.90531613087711,29.961077949002494
11064.png,29.974740700959387,32.626218737490944,30.347764661310684
111_img_.png,30.224814587986373,34.109555347041905,30.62435832273347
112_img_.png,30.428887824541473,35.79737895950356,31.14463100940767
11374.png,29.21077776464231,30.017696204880856,29.592036778918647
11398.png,29.74545452468629,31.80256044991834,30.019717156399494
113_img_.png,30.43916186141695,35.92971825543435,31.077008879551038
114_img_.png,24.881278518911067,22.996080790715766,29.06833006898678
115_img_.png,28.179707647491913,28.523397975973815,29.717896549005314
116_img_.png,28.72386487513243,28.786823867870773,29.08882231273852
117_img_.png,28.460204629606732,28.55739787980301,28.52873325352678
118_img_.png,29.58261346569049,31.307048692606227,29.59191530263315
11_img_.png,28.446783546700406,29.019969047458027,29.25569761169511
120_img_.png,29.907441723188267,32.472372802278116,30.013760233298413
121_img_.png,28.23211621143509,28.092816306695248,29.349242376931052
1225.png,28.30777825879444,27.73036100051954,29.276431580411874
12290.png,30.550235835541496,36.49704230089049,31.307820231202513
12299.png,30.370142016499585,34.505579430282836,30.92927418496113
122_img_.png,29.84605601697735,32.37655118653318,29.984785547349453
12324.png,29.69958264951781,31.3822468309089,30.404458938964332
12336.png,30.364501943540358,34.02618927109542,30.744476402938567
12348.png,30.597484170373363,36.51400163549375,31.27095504745849
123_img_.png,28.37322352641044,28.509639752029482,28.506279623750178
12422.png,30.53950554277275,36.43915683343386,31.226302800107465
12433.png,29.81546159265585,31.673293113219245,30.134676523250803
12445.png,28.780450754344823,28.982838886577163,29.71940031094217
124_img_.png,29.482414606666467,31.244974413840254,29.660161080138586
125_img_.png,27.586904336863114,27.095170757935296,28.021260170014315
12900.png,30.367449250987505,34.55676782492738,30.793391242685743
129_img_.png,29.86779291271841,32.598633402332425,29.617721868815746
130_img_.png,29.33801290570618,30.648567146522048,29.316783038745776
131_img_.png,29.92881282539335,32.81154093635312,30.155348250123993
133_img_.png,29.363440714264787,30.577807570701893,29.26594164515891
135_img_.png,29.638949502715327,31.73927520689198,29.71970882341386
136_img_.png,29.51515836608232,31.696957107339507,30.182871167952232
137_img_.png,29.332119374261538,30.66280204113568,29.36223470816199
138_img_.png,30.09969514692503,33.57233116454197,30.376457726056106
139_img_.png,30.44424053783014,36.0597524427311,30.911178033714176
13_img_.png,29.183857718674652,30.61675509766736,29.54615580126663
1407.png,29.90086167469807,31.899166575233107,30.168950900317512
140_img_.png,29.834261487503895,32.85608331065758,30.281919608949867
141_img_.png,29.36227575605285,30.711119084851926,29.303820795501313
142_img_.png,30.551692835115997,36.68672067925143,31.22524463134528
143_img_.png,29.292536195310337,31.241729816996106,29.84759052610178
144_img_.png,29.379387302742465,30.912781422081107,29.252328550506093
145_img_.png,29.554237724989363,31.3320036871669,29.46036050288676
146_img_.png,28.98927652731453,30.44175789923525,28.916180106158727
148_img_.png,29.250834329630578,30.43622282398791,29.159816716188214
1491.png,30.264609187159003,34.15106631594074,30.694913319006275
149_img_.png,29.387023889380725,31.17127870656796,30.247125150988296
14_img_.png,29.174602735584433,30.803436385462753,30.043742748799023
15001.png,30.060310080416173,33.93375014949723,31.060020431689974
15003.png,30.23780512157487,34.824422634454706,31.203973804562345
15045.png,30.116109750813287,32.50551265176383,30.005387877534826
15094.png,29.986880155678953,32.056351659235396,29.992848821337542
150_img_.png,29.395831589417195,30.99919473376234,29.43882450715357
15113.png,30.483432911777836,35.30151186308269,30.980206932732422
15136.png,30.453630837323335,34.977361681429954,30.887145649310995
151_img_.png,29.962348269482963,33.02951127744448,30.215013391946016
152_img_.png,29.094462043867235,30.386888519281715,29.841444263413766
1539.png,29.59902395009703,31.15983083074902,29.94351222398545
153_img_.png,29.571169818173964,31.72479361942035,30.005095855523606
15418.png,30.538048111517938,37.0126250192033,31.43209751800037
15426.png,30.610342511819887,37.26731834942265,31.530008353009194
154_img_.png,28.647045280279283,29.152156687331903,28.82311305408658
15544.png,29.41572966784687,31.22077694172303,30.928657778347205
155_img_.png,27.460725246219226,26.961295704344096,28.565459872673273
156_img_.png,27.478345199124213,27.022928699270317,28.10764662924211
15704.png,30.532115577877338,36.03340363426468,31.122213470159814
1573.png,30.156538602319234,34.985812851777624,31.061013860149988
